Review,Bank Name,data_source,Bank ID,state,Review spanish,Sentiment_gen,Positive_gen,Negative_gen,Neutral_gen,Mixed_gen,Normalized_Sentiment_Score,ds,Predicted_SASB,SASB_num,Predicted_Pilar,Industry,Sentiment_Category,month,month_num,year,Pilar,Total_Count,Sentiment_Score
"The customer service system with the executives they have is bad. They only sometimes say out loud the number that's up next. They didn't call my number, and when I realized they skipped me, they practically said ""tough luck.""",Banco Falabella,maps,7.0,Valparaíso,"Malo el sistema de atención con ejecutivos que tienen. Solo a veces dicen en voz alta el número al que le toca. No dijeron mi número y cuando me di cuenta que me saltaron, prácticamente me dijeron ""mala suerte"".",NEGATIVE,0.0023229715880006,0.9818228483200072,0.0019653644412755,0.0138888349756598,0.33056538086384,2024-03-02,Social Capital,1,Social External,Banking,Poor,March,3,2024,Social External,451,0.33056538086384
"The customer service system at a counter is terrible, there are no seats for the client or for the worker. They assist you standing up and the place is crowded with people. It's a very uncomfortable place. Rather uncomfortable for customer service and an inhumane place for its workers. It's terrible for the elderly, a very bad place for customer service for people.",Banco Falabella,maps,7.0,Santiago,"Pésimo el sistema de atención en un meson, no hay sillas para el cliente, ni para el ejecutivo.Te atienden de pie y pasa lleno de público. Es un lugar nada de cómodo. Más bien incómodo para la atención al cliente y un lugar inhumano para sus trabajadores.Pésimo para un adulto mayor, un lugar muy malo para la atención de ´personas.",NEGATIVE,8.32518853712827e-05,0.99960595369339,0.0001882305659819,0.00012253584282,0.01773671683622,2023-10-25,Social Capital,1,Social External,Banking,Poor,October,10,2023,Social External,451,0.01773671683622
Closed for remodeling,Banco Falabella,maps,7.0,Buin,Cerrado por remodelación,NEUTRAL,0.2220324128866195,0.0189470406621694,0.7585620880126953,0.0004584838461596,60.13134568929672,2023-08-10,Other,5,Other,Banking,Poor,August,8,2023,Other,138,60.13134568929672
"Little variety, you can see more things on the internet, the kids' fitting room on the 3rd floor doesn't work, my daughter had to go try on clothes on the first floor for women and I couldn't accompany her, and so on for each thing if she got excited about another garment, few people helping, almost only cashiers and they support as much as they can without moving from their positions, there were lines possibly due to the Christmas gift exchange season, but to go make an exchange I was there for about 2 hours and that was just what I went for.",Banco Falabella,maps,7.0,La Serena,"Poca variedad, por internet se ven más cosas, el probador de niños del 3er piso no funciona, mi hija se tuvo que ir a probar al primer piso de mujeres y no la pude acompañar, y así por cada cosa si le entusiasmaba otro prenda, poca gente ayudando, casi solo cajeras y apoyan en lo que más pueden sin moverse de sus puestos, habían filas puede ser por la época de cambio de regalos de navidad, pero para ir a hacer un cambio estuve como 2 horas y eso que fui solo a eso",NEGATIVE,0.1301676034927368,0.5705116391181946,0.0611229054629802,0.2381978183984756,16.072905622422688,2024-01-10,Human Capital,2,Other,Banking,Poor,January,1,2024,Other,451,16.072905622422688
"Small compared to the stores in Santiago, but very varied.",Banco Falabella,maps,7.0,La Serena,"Pequeño comparado con las tiendas de Santiago,  pero muy variado.",MIXED,0.0158355440944433,0.0660044029355049,0.0487909354269504,0.8693691492080688,4.02310118079185,2024-02-23,Other,5,Other,Banking,Poor,February,2,2024,Other,67,4.02310118079185
"The waiting times are excessive, in addition to the problems with the app that often don't even allow you to withdraw money on weekends. You go to the bank after waiting for hours, and they can't do anything because they're offline. Unfortunately, things are getting worse and worse.",Banco Falabella,maps,7.0,La Serena,"Los tiempos de espera son excesivos, además de los problemas de la app que muchas veces los fin de semana nisiquiera deja retirar dinero, uno va al banco luego de esperar horas, y no pueden hacer nada por estar sin sistema....Lamentablemente van de mal en peor...",NEGATIVE,8.088461618172005e-05,0.999588429927826,0.0003021329466719,2.8528040274977684e-05,0.02319510895176,2023-07-19,Other,5,Other,Banking,Poor,July,7,2023,Other,451,0.02319510895176
"I was able to pick up the products I bought online, using a vending machine that seemed modern and easy to use. The pickup location is somewhat far away on the third floor. The elevator seemed a bit deteriorated and only worked between the first and third floors. To exit / access the underground parking lot, we used the stairs.",Banco Falabella,maps,7.0,La Serena,"Pude retirar los productos que compré en internet, usando una máquina dispensadora que me pareció moderna y fácil de usar. El lugar de retiro está algo alejado en el tercer piso. El ascensor se notaba un poco deteriorado y solo funcionaba entre el primer y tercer piso. Para salir/ llegar del estacionamiento subterráneo usamos la escalera.",MIXED,0.0031552794389426,0.1408539861440658,0.0004784431948792,0.8555123209953308,0.33945010363822,2024-03-25,Business Model and Innovation,3,Other,Banking,Poor,March,3,2024,Other,67,0.33945010363822
"Very slow, little space is annoying to be standing around without executives moving forward.",Banco Falabella,maps,7.0,Puerto Montt,Muy lento poco espacio da lata estar rato parado y no avanzan los ejecutivos,NEGATIVE,0.0009815318044275,0.9979618787765504,0.0009906329214572,6.593520811293274e-05,0.14768482651561,2024-01-10,Other,5,Other,Banking,Poor,January,1,2024,Other,451,0.14768482651561
"A very excellent attention
With a lot of charisma in attention",Banco Falabella,maps,7.0,Pucón,"Una muy excelente atención
Con mucho carisma en atención",POSITIVE,0.9993429780006408,5.759303166996688e-05,0.0005798015045002,1.969381082744804e-05,99.9632878752891,2023-08-08,Other,5,Other,Banking,Poor,August,8,2023,Other,344,99.9632878752891
"Excellent experience, the schedule is the best!",Banco Falabella,maps,7.0,Santiago,"Excelente experiencia, el horario es lo mejor!",POSITIVE,0.9996076226234436,2.1886084141442552e-05,0.0003249522706028,4.556747080641799e-05,99.9770098758745,2023-07-04,Other,5,Other,Banking,Poor,July,7,2023,Other,344,99.9770098758745
"Excellent central location and pleasant atmosphere for making withdrawals and deposits, and they are open until late.",Banco Falabella,maps,7.0,La Serena,Excelente lugar céntrico y ambiente agradable para hacer giros  y depósitos y atienden hasta  tarde,POSITIVE,0.984929859638214,0.0001459788327338,0.0012705579865723,0.0136536313220858,98.55651386315004,2024-05-30,Other,5,Other,Banking,Poor,May,5,2024,Other,344,98.55651386315004
"Dreadful bank! No problem when it comes to depositing money, they receive it right away. But when it comes to withdrawing, they put obstacles... Overall, it is a horrible bank and the employees are one turn after another, and they don't assist you. Whether it's that they ran out of coffee, or any excuse to not serve you!",Banco Falabella,maps,7.0,Santiago,"Banco nefasto ! Para depositar plata ningún problema reciben altiro , pero para retirar te ponen pero…. Por todo es un banco horrible y las empleadas una vuelta tras otra vuelta y no atienden , que se le acabó el cafesito , voy por otro , que tengo que ir a buscar nova cualquier escusa con tal de no atender !",NEGATIVE,0.0002359743812121,0.998809814453125,0.0002002568216994,0.0007540000951848,0.03361027920618,2023-11-09,Other,5,Social Internal,Banking,Poor,November,11,2023,Social Internal,451,0.03361027920618
"It was a good experience, a lot of variety, but Paris is recommended more.",Banco Falabella,maps,7.0,La Serena,"Fue una buena experiencia,mucha variedad, pero se recomienda más Paris.",MIXED,0.3844379186630249,0.0006654079770669,0.0012070972006767,0.6136896014213562,38.50414672633633,2024-01-18,Other,5,Environmental,Banking,Poor,January,1,2024,Environmental,67,38.50414672633633
"Very bad service, apart from the fact that the minimum wait time even for a simple consultation is 1 hour. As for bank service, 1 star.",Banco Falabella,maps,7.0,Curicó,"Muy mala atención, aparte que la espera mínima así sea para una simple consulta es de 1 hora. Cómo atención de banco 1 estrella",NEGATIVE,5.874275302630849e-05,0.999626398086548,0.0001870470878202,0.0001277655392186,0.01522662969364,2024-05-20,Social Capital,1,Social External,Banking,Poor,May,5,2024,Social External,451,0.01522662969364
"They don't solve any problem for you.
Francisco Herrera attended me, who even gave me his email to follow up on my request and never responded to me.",Banco Falabella,maps,7.0,Santiago,"No te solucionan ningún problema.
Me atendió Francisco Herrera, quien me dio hasta su correo para hacerle seguimiento a mi solicitud y no me respondió más",NEGATIVE,0.013008882291615,0.976579487323761,0.0101199764758348,0.000291542179184,1.80688705295324,2023-11-09,Other,5,Other,Banking,Poor,November,11,2023,Other,451,1.80688705295324
"The deals are good, but the checkout service is very slow.",Banco Falabella,maps,7.0,La Serena,"Están buenas ofertas, pero el servicio de cajas muy atrasado",MIXED,9.609229891793802e-05,0.0002854954218491,3.141430352116004e-05,0.9995869994163512,0.01117994506785,2024-05-02,Social Capital,1,Social External,Banking,Poor,May,5,2024,Social External,67,0.01117994506785
"Very poor service, it seems they hire people who have no customer service experience and on top of that, they are as slow as a bolero.",Banco Falabella,maps,7.0,Santiago,"Malísima atención, parece que contratan gente que no tiene servicio al cliente como experiencia y para rematar lentos como un bolero.",NEGATIVE,6.531272811116651e-05,0.9997695088386536,0.0001424943038728,2.2743102817912583e-05,0.01365598800475,2024-01-31,Social Capital,1,Social External,Banking,Poor,January,1,2024,Social External,451,0.01365598800475
"Modern store, very organized and clean.",Banco Falabella,maps,7.0,La Serena,"Moderna tienda, muy ordenada y limpia.",POSITIVE,0.9945902824401855,0.0001019430492306,0.0052043786272406,0.0001034473534673,99.7192471753806,2024-03-26,Other,5,Other,Banking,Poor,March,3,2024,Other,344,99.7192471753806
"I went around 5 p.m. to get my physical card, they gave it to me instantly, very quick service and very friendly the executive who attended to me.",Banco Falabella,maps,7.0,Santiago,"Fui alrededor de las 17hrs a obtener mi tarjeta física, me la entregaron al instante, muy rápida la atención y muy amable el ejecutivo que me atendió.",POSITIVE,0.9959474205970764,0.0002749620762187,0.0036115914117544,0.0001659814879531,99.77532163029537,2023-05-19,Social Capital,1,Social External,Banking,Poor,May,5,2023,Social External,344,99.77532163029537
"I have my account there, they are open from Monday to Friday until 6:00 pm and you can withdraw up to 800 thousand pesos at the ATMs at a time.",Banco Falabella,maps,7.0,Santiago,"Tengo ahí mi cuenta, tienen abierto de Lunes a Viernes hasta las 18:00hrs y puedes girar en en los cajeros hasta 800 lucas de una vez.",NEUTRAL,0.1846092045307159,0.0117231411859393,0.8034155368804932,0.0002521051501389,58.63169729709625,2023-07-17,Other,5,Other,Banking,Poor,July,7,2023,Other,138,58.63169729709625
"Very slow service, fingerprintless cashiers, and you can't withdraw less than 800,000 from the ATM. I will definitely switch banks.",Banco Falabella,maps,7.0,Osorno,"Atención muy lenta, cajeros sin huella y no se puede girar menos de 800.000 por cajero, definitivamente me cambiaré de banco.",NEGATIVE,0.0018274949397891,0.995466947555542,0.0025862427428364,0.000119340555102,0.31206163112074,2023-11-07,Social Capital,1,Social External,Banking,Poor,November,11,2023,Social External,451,0.31206163112074
"Terrible service, the executives do not know how to give a correct explanation for the bad decisions made by the bank itself, and worse still, they recommend looking for products at another financial institution, which is really not understood... For me, it was the best bank, but for some time now it has been getting worse and worse, totally disappointed. I think I will take the executive's advice and withdraw my account from Banco Falabella.",Banco Falabella,maps,7.0,Santiago,"Pésimo servicio, los ejecutivos no saben dar una correcta explicación a la malas decisiones del propio banco y peor aún, recomiendan buscar productos en otra institución financiera, realmente no se entiende...Para mi era la mejor entidad bancaria, pero desde ya hace un tiempo viene de mal en peor, totalmente decepcionada. Creo que tomare el consejo del ejecutivo y retiraré mi cta del banco falabella.",NEGATIVE,0.0001226986059918,0.9983968138694764,0.0007188004092313,0.000761616800446,0.04820988106075,2023-08-30,Social Capital,1,Environmental,Banking,Poor,August,8,2023,Environmental,451,0.04820988106075
